entry,rootWrd,fonetik,index,pos,label,def,exp,asal,passive,diaLan,domain,sinonim,references,keep,reason,category
A2,A2,ej,1,kata nama,,huruf yg lazimnya digunakan utk sesuatu yg tidak diketahui,Cari nilai A dalam rajah ini.,,,,,,,False,单字符/符号,symbol
A2,A2,ej,2,kata nama,,yg pertama dalam sesuatu kumpulan atau jenis,Korea diletakkan dalam kumpulan A bersama-sama dengan Belgium dan Great Britain. influenza A; / hepatitis A;,,,,,,,False,单字符/符号,symbol
A2,A2,ej,3,kata nama,,"tahap tertinggi dari segi pemarkahan, kualiti dan lain-lain",Dia mendapat A dalam Biologi. buah salak gred A;,,,,,,,False,单字符/符号,symbol
A2,A2,ej,4,kata nama,,rujukan kepada sso atau sesuatu yg namanya tidak mahu disebut,Mak masih tidak tahu yg A suami orang.,,,,,,,False,单字符/符号,symbol
A.,A.,,,,singkatan bagi,"Abdul. A. digunakan pada pangkal nama lelaki, biasanya bergabung dengan salah satu nama Allah",A. Rahman Hassan.,,,,,,,False,缩写标记,abbreviation
a.kata nama.,a.kata nama.,,,,singkatan bagi,"atas nama. a.s. singkatan bagi alaihissalam. Singkatan ini digunakan atau ditulis biasanya sesudah menyebut nama nabi. dan malaikat, misainya Nabi Daud a.s. dan Jibril a.s",,,,,,,,False,缩写标记,abbreviation
a/k,a/k,,,,singkatan bagi,"anak kepada. Singkatan ini digunakan oleh kaum peribumi di Sarawak, diletakkan di antara nama diri dengan nama bapa tetapi sudah jarang digunakan",Muyang a / k Lintung..,,,,,,,False,缩写标记,abbreviation
a/I,a/I,,,,singkatan bagi,"anak lelaki (kepada). Singkatan ini digunakan oleh orang bukan Melayu, terutamanya India, Sikh dan Orang Asli, diletakkan di antara nama diri dengan nama bapa",Muniandy a / l Doraisamy; / Ranjit Singh a / l Harnam Singh; / Radin a / l Bah Long.,,,,,,,False,元数据条目,meta
a/p,a/p,,,,singkatan bagi,"anak perempuan (kepada). Singkatan ini digunakan oleh orang bukan Melayu, terutamanya India, Sikh dan Orang Asli, diletakkan di antara nama diri dengan nama bapa","Saroja a / p Balakrishnan; / Baljit Kaur a / p Jaswant Singh, / Wah Aton a / p Bah Said.",,,,,,,False,缩写标记,abbreviation
AA,AA,,,,singkatan bagi; kata arkaik,Asia-Afrika.,,,,,,,,False,元数据条目,meta
aaa...,aaa...,,1,,bahasa basahan,"digunakan utk menyatakan persetujuan, rasa ragu-ragu, hairan atau terlupa akan sesuatu, ataupun utk memberikan amaran dan lain-lain","Nama bukunya aaa..., nanti saya cuba ingatKan! / Aaa..., ya, ya mereka itu,"" tingkah Sang Nila.",,,,,,,False,拟声词,interjection
aaa...,aaa...,,2,,bahasa basahan,digunakan utk menjawab panggilan yg membawa maksud ya atau saya,"""Buyung!"" teriak a ayah. ""Aaa...,"" jawabnya.",,,,,,,False,拟声词,interjection
AB,AB,,1,,simbol bagi,jenis darah daripada kumpulan ABO yg mengandungi antigen A dan B;,,,,,Biologi,,,False,元数据条目,meta
AB,AB,,2,,singkatan bagi,"Anggaran Belanja. AB ialah perkiraan atau perhitungan secara kasar ttg sesuatu jumlah wang yg akan digunakan utk melaksanakan sesuatu tugas, projek dan lain-lain atau utk menampung sesuatu keperluan..",,,,,,,,False,元数据条目,meta
Ab.,Ab.,,,,singkatan bagi,"Abdul. Ab. digunakan pada pangkal nama lelaki, biasanya bergabung dengan salah satu nama Allah",Ab. Malik; / b. Aziz..,,,,,,,False,元数据条目,meta
abah2,abah2,abah,1,kata nama,bahasa basahan,lelaki yg merupakan bapa sso,Abah Ali bekerja di hospita / . Dia sempat mencium dahi abah dengan penuh kasih sayang.,"<-- abafh daripada MPP aba: Wolio abha, Bima aba; . Austronesia Pruba aba: Atayal aba",,,,,,False,拟声词,interjection
abah2,abah2,abah,2,kata nama,bahasa basahan,panggilan kepada bapa sso oleh anaknya,"""Minumlah kopi itu abah,"" pu juk Atirah.","<-- abafh daripada MPP aba: Wolio abha, Bima aba; . Austronesia Pruba aba: Atayal aba",,,,,,False,拟声词,interjection
abah2,abah2,abah,3,kata nama,bahasa basahan,panggilan kepada diri sendiri apabila bercakap dengan anaknya,"""Jangan bimbangkan abah, akhirnya bapa bersuara lirih.","<-- abafh daripada MPP aba: Wolio abha, Bima aba; . Austronesia Pruba aba: Atayal aba",,,,,,False,拟声词,interjection
abang mantu,abang ipar,,,,,,,,,Jakarta,,,,False,无有效定义,incomplete
ABC2,ABC2,,,,singkatan bagi,air batu campur.,,,,,,,,False,元数据条目,meta
ABC,ABC,,,,,3 singkatan bagi Asia Badminton Championship (Kejohanan Badminton Asia). ABC ialah kejohanan yg dikelolakan oleh Konfederasi Badminton Asia yg bertujuan utk mengiktiraf pemain badminton terbaik pada peringkat Asia.,,,,,,,,False,元数据条目,meta
Abd.,Abd.,,,,singkatan bagi,"Abdul. Abd. digunakan pada pangkal nama lelaki, biasanya bergabung dengan salah satu nama Allah",Abd. Rahim; / Abd. Majid.,,,,,,,False,元数据条目,meta
abece,abece,abe-t$e,2,kata nama,bahasa basahan,"urutan membuat atau mempelajari sesuatu mengikut tahap-tahapnya, misainya belajar membaca bermula daripada mengenal abjad, mengeja dan membaca..",,daripada Belanda abese,,Indonesia,,,,False,拟声词,interjection
abit,abit,abit,,,,,,,,Sarawak,,,,False,无有效定义,incomplete
mengabit,abit,marabit|menabit,4,kata nama,,;,,,,,,,,False,无有效定义,incomplete
abrit,abrit,abrit,,,,,,,,Jakarta,,,,False,无有效定义,incomplete
absen,absen,absen,,kata kerja tak transitif,bahasa basahan,"tidak hadir ke sekolah. pejabat, mesyuarat dan sebagainya",Aku tahulah Laila absen hari ni.,daripada Ing absent daripada Latin absent-,,,,,,False,拟声词,interjection
mengabsenkan,absen,menab.senkan|men ab.senkan,1,kata kerja transitif,bahasa basahan,mengisikan senarai kehadiran bagi (pihak orang lain yg tidak hadir);,,,,Indonesia,,,,False,拟声词,interjection
mengabsenkan,absen,menab.senkan|men ab.senkan,2,kata kerja transitif,bahasa basahan,menjadikan (sso yg hadir) tidak dicatat kehadirannya.,,,,Indonesia,,,,False,拟声词,interjection
abuk2,abuk2,abu?,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
abung,abung,abun,,,,,,,,,,,,False,无有效定义,incomplete
abV,abV,,,,simbol bagi,abvolt.,,,,,Fizik,,,False,元数据条目,meta
Ac,Ac,,,,simbol bagi,aktinium..,,,,,Kimia,,,False,元数据条目,meta
acah-acah,acah,atfah atsah,1,kata kerja tak transitif,bahasa basahan,mengacukan sesuatu secara main-main pada sso utk menakut-nakutkan atau mengusik dengan tujuan bergurau dan sebagainya,"Saya tak pukul, dia yg acah-acah dengan pengelap lantai.",,,,,,,False,拟声词,interjection
acah-acah,acah,atfah atsah,2,kata kerja tak transitif,bahasa basahan,"membuat aksi tertentu spt menari, memasak dan menyanyi. Acah-acah tangan ke kepala, sekali ke atas sekali ke bawah, bermakna mencucuk bunga-bungaan.",,,,,,,,False,拟声词,interjection
acar3,acar3,at$ar,,,,,,,,Mn,,,,False,无有效定义,incomplete
acara,acara,atsara,,,,,,,,Javanese,,,,False,无有效定义,incomplete
acau,acau,at$aw,,,,,,,,,,,,False,无有效定义,incomplete
"/mana, tak, tidak/ aci",aci i2,,,,bahasa basahan,tidak bersetuju diterima atau tidak dianggap patut atau sah oleh sso,"""Bilik awak dekat dengan dapur, mana aci,"" bantah Aziz. / Begini tak aci! Tamu yg datang patut didahulukan.",,,,,,,False,拟声词,interjection
acik,acik,[at$i?,2,kata nama,bahasa basahan,panggilan kepada mak cik atau pak cik;,,,,,,,,False,拟声词,interjection
aco,aco,[atfo,,,,,,,,Javanese,,,,False,无有效定义,incomplete
acu,acu,a-tSu,,kata nama,bahasa basahan,busu.,,,,,,,,False,拟声词,interjection
acung2,acung2,atSun,,,,,,,,Mn,,,,False,无有效定义,incomplete
ada apa,ada,,,,bahasa basahan,apakah halnya atau mengapa,Ada apa Nurul?,,,,,,,False,拟声词,interjection
ada-ada,ada rupa,ada ada,,,,,,,,,,,,False,无有效定义,incomplete
ada-ada saja,ada rupa,,a,,bahasa basahan,"sela-- lu ada sesuatu yg dikatakan, kerenah atau ragamnya","Setiap kali dia disoal, ada-ada saja jawapannya. ""Ada-ada saja engkau ni, Anis,"" Hadi menghabis. kan sisa-sisa ketawanya.",,,,,,,False,拟声词,interjection
ada-ada saja,ada rupa,,b,,bahasa basahan,selalu berlaku sesuatu atau perkara yg baru,"Ada-ada saja yg dihidang. kan, roti canai, nasi goreng, nasi lemak dan sebagainya.",,,,,,,False,拟声词,interjection
mengada,ada rupa,menada,,adjektif,bahasa basahan,mengada-ada;,,,,,,,,False,拟声词,interjection
adang2,adang2,adan,,,,,,,,,,,,False,无有效定义,incomplete
adang-adang,adap,adan adan,,kata adverba,bahasa basahan,kadang-kadang.,,,,Indonesia,,,,False,拟声词,interjection
adar1,adar1,adar,,,,,,,,,,,,False,无有效定义,incomplete
adas,adas,adas,1,kata nama,,-,,daripada MJP qaddas: Mdr addhas; MPBP aqedas,,,,,,False,无有效定义,incomplete
adas pedas,adas,,,,,adas,,,,,,,,False,无有效定义,incomplete
ADD,ADD,,,,singkatan bagi,"Akhbar Dalam Darjah. ADD ialah pendekatan yg menggunakan akhbar sebagai bahan bantu mengajar di sekolah, terutamanya bagi subjek bahasa.",,,,,,,,False,元数据条目,meta
adem,adem,adem,1,adjektif,bahasa basahan,"(berkenaan dengan air yg telah dimasak, minuman panas) tidak panas lagi tetapi tidak terlalu sejuk;",,,,Indonesia,,,,False,拟声词,interjection
adem,adem,adem,3,adjektif,bahasa basahan,"(berkenaan dengan fikiran, hati atau perasaan sso) tenang dan tenteram;.",,,,Indonesia,,,,False,拟声词,interjection
adiratna pekaca,adiratna,"permata yg asli dan tinggi mutunya; b ki panggilan utk perempuan yg merupakan kekasih. ASAL: [kata bentukan baharu yg terdiri drp adi + ratna (lihat adi-, ratna) {dC}",,,,,,,,,,,,False,无有效定义,incomplete
adres,adres,adres,,kata nama,bahasa basahan,alamat;,,"daripada Belanda, Ing daripada Perancis adresse",,,,,,False,拟声词,interjection
adu3,adu3,[adu,,,bahasa diraja,,,,,,,,,False,无有效定义,incomplete
AELB,AELB,,,,singkatan bagi,"Atomic Energy Licensing Board (Lembaga Perlesenan Tenaga Atom). AELB pada asalnya ditubuhkan di bawah Jabatan Perdana Menteri pada 1 Februari 1985 mengikut Akta 304, dan berperanan sebagai sebuah badan penguat kuasa bagi pelanggaran ke atas Akta Perlesenan Tenaga Atom (Akta 304) dan perundangan subsidiari yg dibuat di bawah akta tsb..",,,,,,,,False,元数据条目,meta
aerosol,aerosol,erosol,2,kata nama,,,,,,,Kimia,,,False,无有效定义,incomplete
Afrika,Afrika,afrika,2,kata nama,,Keluasan: 30 370 000 km?; penduduk: 1.216 bilion (2016).,,,,,,,,False,人名,person_name
afrikat,afrikat,afrikat,,,,,,,,,Linguistik,,,False,无有效定义,incomplete
Ag,Ag,,,,simbol bagi,argentum.,,,,,Kimia,,,False,元数据条目,meta
agak-agak,agak,aga? aga?,2,kata adverba,bahasa basahan,barangkali atau boleh jadi;,Agak-agak hari ini hujan. / Agak-agak bila saya boleh balik / Agak-agak tidak kurang daripada 300 orang hadir dalam kursus induksi.,,,,,agaknya,,False,拟声词,interjection
agak-agak,agak,aga? aga?,3,kata adverba,bahasa basahan,"(bercakap, makan dan lain-lain) dengan hati-hati",Bercakap pada malam hari kenalah agak-agak.,,,,,,,False,拟声词,interjection
agak-agak,agak,aga? aga?,4,kata adverba,bahasa basahan,dengan berpada-pada atau tidak berlebih-lebihan,"Awak ni, agak-agaklah nak bergurau..",,,,,,,False,拟声词,interjection
beragak,agak,baraga?|beraga?,3,kata kerja tak transitif,bahasa basahan,berpada pada atau tidak berlebih-lebihan,Hendak bergurau beragaklah sikit..,,,,,,,False,拟声词,interjection
agak-agih,agak-agih,aga? agih,,,,,,,,,,,,False,无有效定义,incomplete
agan?,agan?,[agan,,,,,,"daripada Parsi 'sekiranya, jika' {Bausani}",,Mn,,,,False,无有效定义,incomplete
Agong,Agong,agon,,kata nama,bahasa basahan,Seri Paduka Baginda Yang di-Pertuan Agong,"""Esok cuti kerana hari jadi Agong,"" kata anak kecil itu mengingatkan ibunya.",,,,,,,False,拟声词,interjection
agrobisnes,agrobisnes,agrobisnes,,kata nama,bahasa basahan,pernia-. gaan yg berkaitan dengan pertanian,Peserta turut memperoleh pengetahuan ttg potensi agrobisnes ikan air tawar.,,,,,,,False,拟声词,interjection
agu,agu,agu,,,,,,,,,,,,False,无有效定义,incomplete
agung2,agung2,agun,,,,,,,,,,,,False,无有效定义,incomplete
agung3,agung3,agun,,kata nama,bahasa klasik,gong,... canang dan agung semuanya itu dipalu orang kerana raja yg dua sudah bersuatu.,,,,,,,False,无有效定义,incomplete
agut1,agut1,agut,,,,,,,,Mn,,,,False,无有效定义,incomplete
agut2,agut2,a-gut,,,,,,,,Brunei,,,,False,无有效定义,incomplete
ah,ah,ah,,kata seru,,"digunakan utk menyatakan pelbagai perasaan termasuk terkejut, kehairanan, keluhan, rungutan, kekecewaan, marah dan sebagainya","Ah, pak cik jaga rupanya! / Ah, aku tak mahu dengar semua itu / 'Ah, dasar anak tak tahu mengenang budi!' rungut Pak Hasan.",,,,,,,False,感叹词,interjection
AHA,AHA,,,,singkatan bagi,Alpha Hydroxy Acid (Asid Alfa Hidrok-. si). AHA ialah asid daripada buah-buahan segar yg dapat mengaktifkan pertumbuhan sel baru.,,,,,,,,False,元数据条目,meta
ahli rumah,ahli1,,b,,,,,,,,,,,False,无有效定义,incomplete
ahli falsafah,ahli2,,b,,,,,,,,,,,False,无有效定义,incomplete
Ahmad Kamal Abdullah,Ahmad Kamal Abdullah,,,,,"nama sebenar Kema la, Sasterawan Negara yg ke-11.",,,,,,,,False,人名,person_name
air batu,air,,,,,ais;,,,,,,,,False,无有效定义,incomplete
air beku,air,,,,,ais;,,,,,,,,False,无有效定义,incomplete
air gas,air,,,,bahasa basahan,air berkarbonat;.,,,,,,,,False,拟声词,interjection
air hidup,air,,b,,bahasa klasik,,,,,,,,,False,无有效定义,incomplete
air kecil,air,,,,bahasa halus,,,,,,,,,False,无有效定义,incomplete
air oren,air,,b,,bahasa basahan,minuman di dalam botol yg terdiri daripada pelbagai perisa;,,,,,,,,False,拟声词,interjection
air pancur,P,,c,,,air,,,,Kedah,,,,False,无有效定义,incomplete
P,P,,,,,,,daripada MP *buan: Iban buay; MPBP *buqan: Tae buan; daripada MJP *pihak: Old Javanese pihak sepotong; MPBP pihak {Zoetmulder}:Tagalog piyak belah',,Indonesia,,,,False,无有效定义,incomplete
"ada air, ada(lah) ikan ada batang mati. ada(lah)",air garam,,,,,h),,,,,,,,False,无有效定义,incomplete
"cendawan tumbuh ada padang, ada(lah) bela-",air garam,,,,,a-,,,,,,,,False,无有效定义,incomplete
mengairi,air garam,me-nairi|men-airi,3,kata kerja transitif,bahasa basahan,memberi minum (sso atau haiwan);,,,"diairi, airi",,,,,False,拟声词,interjection
ais,ais,,,,,;,,daripada Ing ice daripada is,,,,es kelapa puan; ais,,False,无有效定义,incomplete
aisey,aisey,ajse,,kata seru,bahasa basahan,"digunakan utk menyatakan rasa kesal, tidak senang, geram dan sebagainya thp sesuatu atau sso","Aisey, terlepas sudah sesi kelas yg pertama! / isey ... gagal lagi!",,,,,,,False,拟声词,interjection
aiseymen,aiseymen,ajsemen,,kata seru,bahasa basahan,"digunakan utk menyatakan rasa kesal, tidak senang dan sebagainya thp sesuatu atau sso","Aiseymen, gagallah macam ni! / Aiseymen kawan! Kalau dah masuk rumah orang, nak pinjam sesuatu mestilah minta izin.",,,,,,,False,拟声词,interjection
aiya,aiya,ajja,,kata seru,bahasa basahan,"digunakan utk menyatakan rasa kesal, tidak senang atau terkejut thp sesuatu atau sso","Aiya, saya tidak salah encik, tolonglah ... saya orang baik!",,,,,,,False,拟声词,interjection
ajan,ajan,ad3an,,,,,,,,Mn,,,,False,无有效定义,incomplete
mengajar itik berenang itik diajar berenang,belajar,,,,,ng =,,,,,,,,False,无有效定义,incomplete
"tak usahlah diajar anak buaya berenang orang tua diajar makan/pisang, dadih/ meng-",belajar,,,,,ng.,,,,,,,,False,无有效定义,incomplete
aje,aje,[ad3e,,,bahasa basahan,varian aja],,,,,,,,False,拟声词,interjection
Ajt.,Ajt.,,,,singkatan bagi,ajutan.,,,,,,,,False,元数据条目,meta
ajuk3,ajuk3,ad3u?,,,,,,,,,,,,False,无有效定义,incomplete
ajun?,ajun?,[ad3un,,,,,,,,Mn,,,,False,无有效定义,incomplete
ak,ak,,,,singkatan bagi,"anak. Singkatan ini biasanya digunakan oleh kaum peribumi di Sarawak, diletakkan di antara nama diri dengan nama bapa",Kanang ak Langkau. / kip ak Likor.,,,,,,,False,元数据条目,meta
akan?,akan?,akan,,,,,,,,,,,,False,无有效定义,incomplete
akang2,akang2,[akan,,,pangkasan daripada; bahasa basahan,kakang.,,,,,,,,False,拟声词,interjection
"akar terjumbai tempat siamang /berpegang, bergantung/ dahan menganjur tempat tupai",akar1,,,,,ai,,,,,,,,False,无有效定义,incomplete
akar,akar darah,,,,,;,,,,,,ipuh akar besar; Strychnos ignatii; akar,,False,无有效定义,incomplete
akar,akar darah,,,,,;,,,,,,semutega; Coptosapelta tomentosa; akar,,False,无有效定义,incomplete
akar,akar darah,,,,,;,,,,,,Enkleia malaccensis; akar.,,False,无有效定义,incomplete
akar kuku,akar,,,,,li-,,,,,,,,False,无有效定义,incomplete
akar sarikan,akar mem-,,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
akar sembelit,akar mem-,,d,,,,,,,,,,,False,无有效定义,incomplete
akaun genang,akaun,,,,,,,,,,Ekonomi,,,False,无有效定义,incomplete
akik deli-,akik1,,,,,ma,,,,,,,,False,无有效定义,incomplete
ako,ako,[ako,1,kata nama,bahasa basahan,"saudara lelaki yg lebih tua daripada sso, biasanya seibu sebapa dengannya;",,,,,,abang;,,False,拟声词,interjection
ako,ako,[ako,2,kata nama,bahasa basahan,panggilan kepada lelaki Cina yg lebih tua daripada sso.,,,,,,,,False,拟声词,interjection
akong,akong,akon,,kata nama,bahasa basahan,datuk.,,,,,,,,False,拟声词,interjection
aksara,aksara,,,,,;,,daripada Sanskrit aksara,,,,aksara,,False,无有效定义,incomplete
aksi,aksi,aksi,6,adjektif,bahasa basahan,"(berkenaan dengan perbuatan, pakaian dan lain-lain) cantik atau elok",Aksi benar tudungnya ala artis.,"daripada Belanda actie gerakan; tindakan bersenjata; tingkah laku' daripada Perancis action daripada Latin actio tindakan, perbuatan'",,,,,,False,拟声词,interjection
aksi polisionil,aksi,,,,bahasa basahan,gerakan tentera yg bertujuan utk memulihkan keamanan;,,,,Indonesia,,,,False,拟声词,interjection
aktentas,aktentas,aktentas,,kata nama,bahasa basahan,beg utk meng. isi dokumen atau surat penting.,,daripada Belanda aktentas,,Indonesia,,,,False,拟声词,interjection
mengakupunktur,akupunktur,mena-kupunk tur||men-a-kupunk-tur,,,,,,,,,,,,False,无有效定义,incomplete
sealahan,mengalah; alah ku,se-alahan,,,,,,,,,,,,False,无有效定义,incomplete
alah4,alah4,alah,1,kata seru,bahasa basahan,"digunakan utk menyatakan rasa kesal, tidak senang dan sebagainya, atau utk meremehkan sso atau sesuatu;","Alah, kalau mahu katakan mahu, kalau tak sudi katakanlah tak sudi / Alah, macamlah dia seorang sahaja yg sibuk! / lah, buat tak tahu pula!",,,,,ala,,False,拟声词,interjection
alah4,alah4,alah,2,kata seru,bahasa basahan,digunakan utk memujuk dan sebagainya,"Alah, esok pagi dia datanglah. / Alah, nanti pandai-pandailah abang pujuk ayah.",,,,,,,False,拟声词,interjection
alah-alah,alah-alah,alah alah,,kata seru,bahasa basahan,"digunakan sebelum memulakan pujian, pujukan dan sebagainya","Alah-alah, comelnya anak mak! / Alah-alah, janganlah me rajuk!",,,,,,,False,拟声词,interjection
alak2,alak2,ala?,,,,,,daripada Mn {Kamus Dewan},,,,,,False,无有效定义,incomplete
arwah,alam1,,b,,,,,,,,,,,False,无有效定义,incomplete
alam,alam1,,,,,roh;,,,,,,alam,,False,无有效定义,incomplete
alam buana,alam,,,,,k/,,,,,,,,False,无有效定义,incomplete
alam2,alam2,a1am,,,,,,,,,,,,False,无有效定义,incomplete
alamar,alamar,alamar,,,kata arkaik,,,,,,,,,False,无有效定义,incomplete
"alang-alang berdakwat, biar hitam alang-alang",alang1,,,,,ng,,,,,,,,False,无有效定义,incomplete
"berminyak, biar licin alang-alang mandi, biar",alang1,,,,,ar,,,,,,,,False,无有效定义,incomplete
alas3,alas3,alas,,,,,,,,Javanese,,,,False,无有效定义,incomplete
Alaska,Alaska,alaska,2,kata nama,,Keluasan: 1 477 953 km?; penduduk: 737 680 (2017); bahasa rasmi: Inggeris.,,,,,,,,False,人名,person_name
Albania,Albania,albanija,2,kata nama,,930 000 (2017) agama,"Islam; bahasa: Albania; ibu negara: Tirana; mata wang: lek; nama rasmi: Republik Sosialis Rakyat Albania. 2 bahasa yg diturunkan daripada Indo-Eropah, dan merupakan bahasa rasmi Albania.",,,,,,,False,人名,person_name
alem,alem,alam,,,,,,,,Javanese,,,,False,无有效定义,incomplete
alergik,alergik,alergik,2,adjektif,bahasa basahan,amat tidak suka thp sso atau sesuatu,"Kalau diikutkan, dia memang alergik dengan mana-mana perempuan, selain keluarganya. / Alergik betul telinga aku ini apabila mendengar nama perempuan yg mengada-ngada itu.",,,,,,,False,拟声词,interjection
alfa1 alfu,alfa1,lihat lfa,,,,,,,,,,,,False,无有效定义,incomplete
alfabet,alfabet,alfabet,,kata nama,bahasa basahan,"huruf-huruf dalam sesuatu bahasa yg disusun mengikut urutan yg tertentu, misainya A, B, C hingga Z bagi tulisan Rumi dan alif, ba, ta hingga ya bagi tulisan Jawi;",,,,,,abjad.,,False,拟声词,interjection
ali1,ali1,ali,,,,,,,,,,,,False,无有效定义,incomplete
ali3,ali3,ali,,,,,,,,,,,,False,无有效定义,incomplete
pengalih perhatian,peralihan kekuasaan,"a sso atau sst yg dapat mengalih perhatian: Suarez bertindak sbg pengalih perhatian agar Messi dan Neymar dapat menjaringkan gol.+@nternet merupakan pengalih perhatian yg paling hebat dlm kehidupan seharian. b jawapan yg hampir tepat yg dapat mengalih perhatian calon dlm soalan aneka pilihan. ASAL: [drp MP alih: Iban alih; MPP alig: Jw alih, Mota ali-al berpindah-pindah'",,,,.,,,,,,,,False,无有效定义,incomplete
alim1,alim1,falim,3,adjektif,bahasa basahan,sangat baik sifat dan akhlaknya,"Di hadapan ibu bapa mereka tunjuk alim, tetapi apabila bersama-sama dengan kawan-kawan, mereka tunjuk belang.",daripada Arab alim,,,,,,False,拟声词,interjection
alim-alim,alim1,ialim ialim,3,adjektif,bahasa basahan,(berkenaan dengan sso) agak alim,Kaulong suruh sajalah kawan kita yg alim-alim sikit menegur dan menasihati dia.,,,,,,,False,拟声词,interjection
aling1,aling1,alin,,,,ld,,,,,,,,False,无有效定义,incomplete
aling-aling; aling-alingan,aling1,alin alinan,,kata nama,bahasa basahan,aling-aling;,,,,,,,,False,拟声词,interjection
alingan,aling1,alinan,,kata nama,bahasa basahan,,,,,,,,,False,拟声词,interjection
alip1,alip1,alip,,,,,,,,,,,,False,无有效定义,incomplete
alip2,alip2,alip,,,kata arkaik,,,,,,,,,False,无有效定义,incomplete
pengalit,alit1,panalit,,kata nama,,alit,Sapukan peng. alit mata di kelopak mata.,,,,,,,False,无有效定义,incomplete
alit3,alit3,alit,,,,,,,,,,,,False,无有效定义,incomplete
Almakbud,Almakbud,almai-bud,,,,,,,,,,,,False,无有效定义,incomplete
Alor Setar,Alor Setar,alor setar,1,kata nama,,ibu negeri Kedah Darul Aman yg diisytiharkan sebagai bandar raya pada 21 Disember 2003.,,,,,,,,False,人名,person_name
Alor Setar,Alor Setar,alor setar,2,kata nama,,Keluasan: 666 km?; penduduk: 406 700 (2017).,,,,,,,,False,人名,person_name
alu-alu1,alu-alu1,alu alu,,,,,,,,,,,,False,无有效定义,incomplete
Am,Am,,,,simbol bagi,amerisium.,,daripada Arab amm,,,Kimia,,,False,元数据条目,meta
amacam,amacam,amatSam,,,pangkasan daripada; bahasa basahan,apa macam.,,,,,,,,False,拟声词,interjection
amanah,amanah,amanah,,adjektif,,1 da,,,,,,,,False,无有效定义,incomplete
amanuensis,amanuensis,"d n amanuwensis pembantu yg ahli dlm makmal kimia atau fizik, terutamanya di sekolah. ASAL: [drp Bld drp Lt amanuensis",,,,,,,,,,,,False,无有效定义,incomplete
amat2,amat2,amat,,,,,,,,,,,,False,无有效定义,incomplete
ambai2,ambai2,am-baj,,,,,,,,,,,,False,无有效定义,incomplete
ambal3,ambal3,ambal,,,,,,,,,,,,False,无有效定义,incomplete
ambal4,ambal4,am-bal,,,,,,,,,,,,False,无有效定义,incomplete
ambal 5,ambal 5,ambal,,,,,,,,Mn,,,,False,无有效定义,incomplete
ambang2,ambang2,am-ban,,,,,,,,,,,,False,无有效定义,incomplete
ambar,ambar,,,,,;,,daripada Arab{Kamus Dewan},,,,ambar,,False,无有效定义,incomplete
ambau2,ambau2,am-baw,,,,,,,,Mn,,,,False,无有效定义,incomplete
ambek1,ambek1,am-be?,,kata kerja tak transitif,,,,,,Javanese,,,,False,无有效定义,incomplete
ambek2,ambek2,ambe?,,,,,,,,Javanese,,,,False,无有效定义,incomplete
ambelu,ambelu,ambelu,,,,,,,,,,,,False,无有效定义,incomplete
mengambil oper,mengambil kerjasama,,,,bahasa basahan,"menerima sesuatu daripada orang lain utk dipakai, dibeli dan lain-lain; b Indonesia bahasa basahan menggantikan atau mengambil alih pekerjaan, tanggungan, tugas dan lain-lain orang lain;",,,,Indonesia,,,,False,拟声词,interjection
mengambil peduli,mengambil kerjasama,,b,,bahasa basahan,"mencampuri urusan, hal dan sebagainya orang lain",Jangan mengambil peduli hal orang lain.,,,,,,,False,拟声词,interjection
mengambil pot,mengambil kerjasama,,a,,bahasa basahan,mengambil peduli,Saya tidak mengambil pot ttg hal itu.,,,,,,,False,拟声词,interjection
mengambil pot,mengambil kerjasama,,b,,bahasa basahan,mengambil tempat,Jee mengambil pot duduk di atas katilku sambil mulutnya mengunyah sesuatu.,,,,,,,False,拟声词,interjection
mengambil pusing,mengambil kerjasama,,,,bahasa basahan,mengambil peduli;,,,,,,,,False,拟声词,interjection
mengambil tanah,mengambil kerjasama,,b,,,upa-,,,,,,,,False,无有效定义,incomplete
ambil hati,ambil hati,ambil hati,,,,,,,,,,,,False,无有效定义,incomplete
amboi-amboi,amboi,amboj amboj,,,bahasa basahan,digunakan utk menekankan,,,,,,,,False,拟声词,interjection
ambon,ambon,ambon,,,,,,,,,,,,False,无有效定义,incomplete
ambring,ambring,am-brin,,,,.,,,,Jakarta,,,,False,无有效定义,incomplete
ambung2,ambung2,am-bun,,,,m,,,,,,,,False,无有效定义,incomplete
ambung3,ambung3,am-bun,,,,,,,,Javanese,,,,False,无有效定义,incomplete
ambur1,ambur1,ambur,,,,,,,,Mn,,,,False,无有效定义,incomplete
ambus,ambus,ambus,,,bahasa kasar,.,,,,,,,,False,无有效定义,incomplete
AMCJA,AMCJA,,,,singkatan bagi,"All Malaya Council of Joint Action (Majlis Tindakan Bersama Tanah Melayu). AMCJA ditubuhkan pada 22 Disember 1946 dengan pengerusinya Tan Cheng Lock, dan antara tujuannya adalah utk menentang cadangan Perjanjian Persekutuan Tanah Melayu dan mengemukakan perlembagaan baharu, iaitu Perlembagaan Rakyat apabila bersama dengan PUTERA kemudiannya.",,,,,Sejarah,,,False,元数据条目,meta
amek,amek,ame?,,kata kerja transitif,bahasa basahan,ambil..,,daripada Indonesia{Kamus Dewan},,,,,,False,拟声词,interjection
