entry,rootWrd,fonetik,index,pos,label,def,exp,asal,passive,diaLan,domain,sinonim,references,keep,reason,category
buah tangan,buah tangan,bu-wah tanan,5,kata nama,kiasan; bahasa basahan,"penumbuk, penampar dan sebagainya yg diberikan oleh sso","Aduh, sakit jugalah kena buah tangan abah!",,,,,,,False,拟声词,interjection
membuang,buang,mem-bu-wan,2,kata kerja tak transitif,bahasa basahan,,,,,,,,,False,拟声词,interjection
buat,buat,bu-wat,4,kata adverba,bahasa basahan,buat-buat,Jangan buat tak endah kalau isteri merajuk atau berkecil hati. kata kerja transitif,,,,,,,False,拟声词,interjection
"buat /tak, tidak/ tahu",buat,,,,bahasa basahan,tidak mengambil perhatian thp sesuatu atau tidak mengendahkan sesuatu yg berlaku;,,,,,,,,False,拟声词,interjection
buat apa,buat,,,,bahasa basahan,menyatakan maksud tidak bersetuju atau marah ttg sesuatu perkara yg tidak wajar dilakukan;,Buat apa engkau balik / Buat apa berlagak kalau duit tak ada.,,,,,mengapa,,False,拟声词,interjection
buat baik,buat,,,,bahasa basahan,berbaik-baik,Dia buat baik dengan saya sebab hendak meminjam wang.,,,,,,,False,拟声词,interjection
buat bodoh,buat,,,,bahasa basahan,berpura-pura tidak tahu,Saya memang pantang kalau anak-anak buat bodoh sahaja apabila saya bercakap,,,,,,,False,拟声词,interjection
"buat dak, buat dek",buat,,,,bahasa basahan,,,,,,,,,False,拟声词,interjection
buat hal,buat,,a,,bahasa basahan,"(berkenaan dengan orang atau haiwan) berbuat sesuatu atau bertingkah Iaku yg tidak baik atau tidak wajar, yg menyebabkan timbul masalah, kekecohan dan sebagainya;",,,,,,,,False,拟声词,interjection
buat hal,buat,,b,,bahasa basahan,"(berkenaan dengan alat, kenderaan dan sebagainya) rosak atau tidak dapat berfungsi dengan baik","Jika bas buat hal, mereka terpaksa menggunakan teksi walaupun kadangkala dikenakan tambang yg tinggi.",,,,,,,False,拟声词,interjection
buat malu,buat,,,,bahasa basahan,melakukan sesuatu yg mendatangkan aib pada orang lain atau pada dirinya sendiri;,,,,,,,,False,拟声词,interjection
buat muka,buat,,a,,bahasa basahan,bermanis muka utk mengambil hati,"Tidak payahlah buat muka begitu, saya tahulah awak comel.",,,,,,,False,拟声词,interjection
buat muka,buat,,b,,bahasa basahan,mencemikkan muka kerana tidak berpuas hati dengan sesuatu,"Aku mengeluh seiring buat muka, bosan dengan sandiwaranya.",,,,,,,False,拟声词,interjection
buat pasal,buat,,,,bahasa basahan,"melakukan perbuatan atau tingkah laku yg tidak baik, yg menimbulkan kemarahan atau menyusahkan orang lain;",,,,,,,,False,拟声词,interjection
buat penat,buat,,,,bahasa basahan,menjadi sia-sia atau tidak mendatangkan sebarang hasil atau manfaat;,,,,,,,,False,拟声词,interjection
buat pening kepala,buat,,,,bahasa basahan,mendatangkan masalah dan mengganggu fikiran;,,,,,,,,False,拟声词,interjection
buat rugi,buat,,,,bahasa basahan,buat penat;,,,,,,,,False,拟声词,interjection
bubul 3,bubul 3,bu-bul,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
erbucu-bucu,bucu1,ber.butfu butfu,,,,9?9,-99 kata kerja tak transitif mempunyai beberapa bucu: Bahagian depan. rumah barunya berbucu-bucu.,,,,,,,False,无有效定义,incomplete
budak,budak,buda?,3,kata nama,bahasa basahan,orang muda,Budak zaman sekarang suka mencari jodoh sendiri.,,,,,,,False,拟声词,interjection
budak,budak,buda?,4,kata nama,bahasa basahan,orang muda yg masih belajar,budak sekolah; / budak kolej;,,,,,,,False,拟声词,interjection
budak,budak,buda?,5,kata nama,bahasa basahan,"sso yg suka melakukan sesuatu aktiviti, biasanya yg negatif",budak dadah;.,,,,,,,False,拟声词,interjection
budak belasahan,budak,,,,bahasa basahan,gelaran bagi pasukan atau. pemain yg tidak kuat dan mudah dikalahkan. dengan teruk oleh pasukan atau pemain lawan,Selepas berjaya mengikis imej budak belasahan setiap pemain perlu meningkatkan martabat skuad ini agar menjadi pencabar terkuat dalam bola sepak di negara ini.,,,,,,,False,拟声词,interjection
budak bertuah,budak,,,,bahasa basahan,"sebutan atau panggilan bagi anak atau sso yg telah melakukan sesuatu yg tidak menyenangkan oleh ibu, bapa dan sebagainya yg sedang marah, geram dan sebagainya oleh perbuatannya itu","""Budak bertuah ni, senang-senang di bandar nak menyibuk pulak di kampung!"" Pak Solok merungut sendirian.",,,,,,,False,拟声词,interjection
budak-budak,budaya,buda? buda?,2,kata nama,bahasa basahan,anak sso,"""Budakbudak semuanya sudah bekerja,"" jawab Pak Mail.",,,,,,,False,拟声词,interjection
sebudi,budi1,sebudi,,,,,,,,,,,,False,无有效定义,incomplete
budur,budur,budur,,,,,,,,,,,,False,无有效定义,incomplete
334,334,,,,,haja,"katil bujang / bilik bujang; / kerusi bujang; 3 kiasan (berkenaan dengan makanan atau minuman) tiada pasangannya atau hanya disediakan sejenis sahaja: Hanya kopi bujang sahaja yg dapat kami hidangkan petang ini. kata nama 4 orang lelaki dewasa yg belum berkahwin; jeja ka; 5 perempuan yg sudah bercerai atau kematian suami; janda: Milah masih cantik, maklum bujang anak satu. 6 pembantu rumah laki-laki yg kerjanya memotong rumput, mencuci kereta, menyediakan makan minum dan lain-lain; jongos: Lampu minyak tanah sudah lama dipasang oleh bujang. nya. 7 bahasa kasar kemaluan laki-laki;",,,,,,,False,无有效定义,incomplete
bujang trang tang tang,334,,,,bahasa basahan,lelaki muda yg masih belum berkahwin,"Sewaktu dihantar ke Kongo di bawah panji-panji Bangsa-bangsa Bersatu itu, saya masih bujang trang tang tang!",,,,,,,False,拟声词,interjection
"/bagai, bak/ bujang julung berkeris /bagai,",334,,,,,"i,",,,,,,,,False,无有效定义,incomplete
bujang,bujang,bud3an,,,,,,,,,,,,False,无有效定义,incomplete
buka-buka,buka,buka buka]. ktt,1,kata kerja tak transitif,bahasa basahan,mendedahkan tubuh,Naik muak tengok sesetengah artis wanita yg suka berpakaian buka-buka. kata kerja transitif,,,,,,,False,拟声词,interjection
buka-buka,buka,buka buka]. ktt,2,kata kerja transitif,bahasa basahan,membuka (sesuatu) berulang kali,Saya sangat suka buka-buka gerai jualan ini sebab boleh jumpa ramai orang,,,,,,,False,拟声词,interjection
membuka durian,buka,,,,bahasa basahan,mengopek buah durian utk mengambil isinya,"Dgn susah payah, suamiku membuka durian sampai terluka tangan.",,,,,,,False,拟声词,interjection
bukan,bukan,bu-kan,,,,,,daripada MP *bukan: Seraway l bukan,,,,,,False,无有效定义,incomplete
buku1,buku1,,3,kata nama,bahasa basahan,perhitungan atau urusan,Orang itu jangan masuk dalam buku kita.,,,,,,,False,拟声词,interjection
buku akaun,buku1,,b,,,,,,,,,,,False,无有效定义,incomplete
buku cenderamata,buku1,,,,,buku,,,,,,,,False,无有效定义,incomplete
buku rapor,buku pelajaran,,,,,ld,,,,,,,,False,无有效定义,incomplete
"/bertemu, berjumpa/ buku dengan ruas /berte-",buku2,,,,,e-,,,,,,,,False,无有效定义,incomplete
membuku,buku3,mem-buku,,,,.,,,,,,,,False,无有效定义,incomplete
Buku Merah,Buku Merah,buku me.rah,3,kata nama,bahasa basahan,pasport.,,,,,,,,False,拟声词,interjection
bulah,bulah,bulah,,,,Ke/,,,,,,,,False,无有效定义,incomplete
bulan,bulan,,,,,SAW;,,,,,,,,False,无有效定义,incomplete
"/bagai, spt/ bulan kesiangan (hari) bagai cen-",pada bulan tampak,,,kata nama,,-,,,,,,,,False,无有效定义,incomplete
bulan-bulan,pada bulan tampak,bulan bulan,3,kata bilangan,bahasa basahan,setiap bulan,Bulan-bulan makan duit faedah bank pun tidak habis!,,,,,,,False,拟声词,interjection
bulan madu,bulan madu,bulan ma-du,3,kata nama,bahasa basahan,tempoh tertentu bagi sso utk berseronok dan bergembira,"Dlm tempoh bulan madu sebelum menghadapi perlawanan penting itu, pasukan bola sepak Kedah telah di bawa ke Beijing.",,,,,,,False,拟声词,interjection
bunga dulu jantan,bunga1,,,,istilah lama,,,,,,,,,False,无有效定义,incomplete
"(umpamanya) orang /campak, lempar/ bunga, dibalas /campak, lempar/ tahi susu dibalas",348,,,,,as,,,,,,,,False,无有效定义,incomplete
"bunga bukan sekuntum, kumbang bukan seekor bu-",348,,,,,u-,,,,,,,,False,无有效定义,incomplete
"nga tak sekaki, kumbang tak seekor kumbang",348,,,,,ng,,,,,,,,False,无有效定义,incomplete
bunga kubur,bunga kubur,buna kubur,,kata nama,bahasa basahan,kemboja (tumbuhan).,,,,,,,,False,拟声词,interjection
membungkam,bungkam,mem-bug.kam,,,,,,,,,,,,False,无有效定义,incomplete
bungking,bungking,bunkin,,,,,,,,Utara,,,,False,无有效定义,incomplete
bungkus,bungkus,bun.kus,4,kata kerja tak transitif,bahasa basahan,berhenti menjalankan perniagaan atau perkhidmatan akibat sesuatu masalah,Banyak syarikat sudah bungkus disebabkan bemasaran program pelaburannya yg tidak sesuai. kata kerja transitif,,,,,,,False,拟声词,interjection
berbungkus,bungkus,,,,,kus,Dia menghadiahi Hani sehelai kain batik yg,,,,,,,False,无有效定义,incomplete
buni2,buni2,buni,,,,,,daripada MPBP buni roh alam': Ilocano buni dewa orang yg jahil',,,,,,False,无有效定义,incomplete
bagai buntal kembung melabuh-labuh,buntal2,,,,,uh,,,,,,,,False,无有效定义,incomplete
bunting bantang bunting be-,bunting,,,,,sar;,,,,,,bunting be.,,False,无有效定义,incomplete
kebuntuan,buntu,kebun.tu wan,,,,,,,,,,,,False,无有效定义,incomplete
buntut2,buntut2,bun-tut,,,,,,,,,,,,False,无有效定义,incomplete
letus,bunyi kembar,,,,,an;,,,,,,,,False,无有效定义,incomplete
burai,burai,buraj,,,,,,,,,,,,False,无有效定义,incomplete
buruj Mengkara,buruj 1,,,,,,,,,,Astronomi,,,False,无有效定义,incomplete
R,R,,,,,i s,,"daripada MJP ruksak: Sunda ruksak; MPP rusak{Dyen}: Tagalog uslak, Fiji rusa busuk'",,,,,,False,无有效定义,incomplete
burung papak,burung papak,,,,,gL y,{bu-run papa?] kata nama tirjup rimau (burung); Lanius tigrinus.,,,,,,,False,无有效定义,incomplete
membusakan,busa1,mem-bu.sa-kan,,kata kerja transitif,,[,,,,,,,,False,无有效定义,incomplete
busat,busat,busat,,,,,,,,,,,,False,无有效定义,incomplete
busuk-busuk,busuk,busu? busu?,1,adjektif,bahasa basahan,paling sedikit,"Kalau tak kena rotan pun, busuk-busuk kena ketuk ketampi. / Kos tiket kapal terbang, penginapan dan makan minum busuk-busuk pun RM500.00 ke atas.",,,,,,,False,拟声词,interjection
busuk-busuk,busuk,busu? busu?,2,adjektif,bahasa basahan,walau bagaimana busuk sekalipun,Busuk-busuk belacan sedap juga dibuat sambal.,,,,,,,False,拟声词,interjection
buta perut,buta,,a,,bahasa basahan,tidak menggunakan fikiran yg waras ketika bertindak,Lorong kecemasan penuh dengan pemandu yg buta perut.,,,,,,,False,拟声词,interjection
buyur,buyur,bu-jur,,,,,,,,Javanese,,,,False,无有效定义,incomplete
Ca,Ca,,,,simbol bagi,kalsium.,,,,,Kimia,,,False,元数据条目,meta
mencabai,cabai1,mentSabaj,,kata kerja transitif,bahasa basahan,"menenyehkan cabai pada (mulut sso), biasanya kerana geram dengan kata-kata yg dikeluarkan",Ingin sekali aku mencabai mulut lelaki itu.,,"dicabai, cabai",,,,,False,拟声词,interjection
cabau,cabau,t$abaw,,,,,,,,Mn,,,,False,无有效定义,incomplete
